compound,MA,FA,Cs,EA,Pb,Sn,Cl,Br,I,efficiency (%),Open circuit voltage (V),Short circuit current density (A/m²),Fill factor,Band gap (eV),n_reports
Cs0.01FA0.39MA0.6PbBr0.025I2.975,0.6,0.39,0.01,0.0,1.0,0.0,0.0,0.025,2.975,18.7,1.07,227.0,0.77,1.6,1
Cs0.01MA0.99PbBr0.03I2.97,0.99,0.0,0.01,0.0,1.0,0.0,0.0,0.03,2.97,19.4,1.1,223.0,0.7879999999999999,1.6,1
Cs0.025FA0.475MA0.5Pb0.5Sn0.5I3,0.5,0.475,0.025,0.0,0.5,0.5,0.0,0.0,3.0,19.285,0.78,321.70000000000005,0.745,1.27,2
Cs0.025FA0.825MA0.15PbBr0.45I2.55,0.15,0.825,0.025,0.0,1.0,0.0,0.0,0.45,2.55,19.21,1.055,225.5,0.8079999999999999,1.651,1
Cs0.02FA0.38MA0.6PbBr0.025I2.975,0.6,0.38,0.02,0.0,1.0,0.0,0.0,0.025,2.975,19.2,1.09,227.0,0.78,1.6,1
Cs0.02MA0.98PbBr0.06I2.94,0.98,0.0,0.02,0.0,1.0,0.0,0.0,0.06,2.94,20.46,1.13,228.1,0.79,1.6,1
Cs0.03FA0.37MA0.6PbBr0.025I2.975,0.6,0.37,0.03,0.0,1.0,0.0,0.0,0.025,2.975,18.0,1.1,225.0,0.73,1.6,1
Cs0.03FA0.77MA0.2PbBr0.46I2.54,0.2,0.77,0.03,0.0,1.0,0.0,0.0,0.46,2.54,11.645000000000001,1.07,214.0,0.585,1.5,2
Cs0.03FA0.81MA0.16PbBr0.50I2.50,0.16,0.81,0.03,0.0,1.0,0.0,0.0,0.5,2.5,10.8,1.0,160.5,0.6699999999999999,1.63,2
Cs0.03FA0.945MA0.025PbBr0.075I2.925,0.025,0.945,0.03,0.0,1.0,0.0,0.0,0.075,2.925,16.74,1.03,234.2,0.696,1.56,9
Cs0.03FA0.97PbI3,0.0,0.97,0.03,0.0,1.0,0.0,0.0,0.0,3.0,13.4,0.94,212.0,0.669,1.5529999999999995,1
Cs0.03MA0.97PbBr0.09I2.91,0.97,0.0,0.03,0.0,1.0,0.0,0.0,0.09,2.91,14.58,0.984,205.2,0.722,1.6,1
Cs0.04FA0.80MA0.16PbBr0.50I2.50,0.16,0.8,0.04,0.0,1.0,0.0,0.0,0.5,2.5,12.2,1.01,165.0,0.74,1.6335,4
Cs0.04FA0.80MA0.16PbBr0.51I2.49,0.16,0.8,0.04,0.0,1.0,0.0,0.0,0.51,2.49,16.759999999999998,1.0465,213.05,0.7370000000000001,1.61,8
Cs0.04FA0.82MA0.14PbBr0.42I2.58,0.14,0.82,0.04,0.0,1.0,0.0,0.0,0.42,2.58,17.82,1.1,215.9,0.75,1.58,3
Cs0.04FA0.8MA0.16PbBr0.49I2.51,0.16,0.8,0.04,0.0,1.0,0.0,0.0,0.49,2.51,16.8,1.078,219.8,0.7,1.6200000000000003,7
Cs0.05FA0.38MA0.57PbBr0.2I2.8,0.57,0.38,0.05,0.0,1.0,0.0,0.0,0.2,2.8,17.02,0.1009999999999999,234.0,0.72,1.57,1
Cs0.05FA0.45MA0.5Pb0.5Sn0.5I3,0.5,0.45,0.05,0.0,0.5,0.5,0.0,0.0,3.0,17.29,0.71,320.90000000000003,0.76,1.26,1
Cs0.05FA0.55MA0.4PbBr2.88I0.12,0.4,0.55,0.05,0.0,1.0,0.0,0.0,2.88,0.12,15.2,1.08,31.6,0.74,1.56,3
Cs0.05FA0.57MA0.38PbI3,0.38,0.57,0.05,0.0,1.0,0.0,0.0,0.0,3.0,19.9,1.08,232.0,0.79,1.54,1
Cs0.05FA0.5MA0.45Pb0.5Sn0.5I3,0.45,0.5,0.05,0.0,0.5,0.5,0.0,0.0,3.0,19.4,0.83,297.0,0.78,1.22,1
Cs0.05FA0.65MA0.3PbBr0.15I2.85,0.3,0.65,0.05,0.0,1.0,0.0,0.0,0.15,2.85,18.2,1.153,235.3,0.807,1.5499999999999998,5
Cs0.05FA0.70MA0.25PbI3,0.25,0.7,0.05,0.0,1.0,0.0,0.0,0.0,3.0,19.25,1.1099999999999999,234.0,0.7390000000000001,1.51,2
Cs0.05FA0.75MA0.2PbI3,0.2,0.75,0.05,0.0,1.0,0.0,0.0,0.0,3.0,15.61,1.06,219.35000000000002,0.6699999999999999,1.52,2
Cs0.05FA0.76MA0.19PbBr0.3I2.7,0.19,0.76,0.05,0.0,1.0,0.0,0.0,0.3,2.7,17.3,1.08,208.0,0.767,1.6,1
Cs0.05FA0.76MA0.19PbBr0.51I2.49,0.19,0.76,0.05,0.0,1.0,0.0,0.0,0.51,2.49,14.6,1.07,195.0,0.704,1.65,1
Cs0.05FA0.76MA0.19PbBr0.6I2.4,0.19,0.76,0.05,0.0,1.0,0.0,0.0,0.6,2.4,18.25,1.13,222.0,0.779,1.59,15
Cs0.05FA0.76MA0.19PbBr0.72I2.28,0.19,0.76,0.05,0.0,1.0,0.0,0.0,0.72,2.28,14.3,1.11,175.0,0.733,1.6800000000000002,1
Cs0.05FA0.76MA0.19PbBr0.9I2.1,0.19,0.76,0.05,0.0,1.0,0.0,0.0,0.9,2.1,11.2,1.13,150.0,0.66,1.73,1
Cs0.05FA0.7885MA0.1615PbBr0.3I2.7,0.1615,0.7885,0.05,0.0,1.0,0.0,0.0,0.3,2.7,13.15,0.9550000000000001,202.5,0.7250000000000001,1.565,4
Cs0.05FA0.7885MA0.1615PbBr0.51I2.49,0.1615,0.7885,0.05,0.0,1.0,0.0,0.0,0.51,2.49,15.809999999999999,1.1005,212.8,0.72,1.57,20
Cs0.05FA0.788MA0.162PbBr0.51I2.49,0.162,0.788,0.05,0.0,1.0,0.0,0.0,0.51,2.49,18.45,1.08,224.0,0.763,1.59,1
Cs0.05FA0.79MA0.160Pb1.0Br0.3I2.7,0.16,0.79,0.05,0.0,1.0,0.0,0.0,0.3,2.7,16.9,1.025,217.0,0.79,1.5499999999999998,2
Cs0.05FA0.79MA0.16Pb0.25Sn0.75Br0.5I2.5,0.16,0.79,0.05,0.0,0.25,0.75,0.0,0.5,2.5,10.93,0.71,214.6,0.71,1.3,2
Cs0.05FA0.79MA0.16Pb0.58Sn0.42Br0.52I2.48,0.16,0.79,0.05,0.0,0.58,0.42,0.0,0.52,2.48,13.25,0.74,259.0,0.69,1.38,1
Cs0.05FA0.79MA0.16Pb0.5Sn0.5Br0.5I2.5,0.16,0.79,0.05,0.0,0.5,0.5,0.0,0.5,2.5,11.685,0.73,216.0,0.67,1.31,2
Cs0.05FA0.79MA0.16Pb0.664Sn0.336Br0.52I2.48,0.16,0.79,0.05,0.0,0.664,0.336,0.0,0.52,2.48,16.1,0.8,265.9,0.76,1.38,1
Cs0.05FA0.79MA0.16Pb0.748Sn0.252Br0.52I2.48,0.16,0.79,0.05,0.0,0.748,0.252,0.0,0.52,2.48,14.1,0.76,252.0,0.74,1.38,1
Cs0.05FA0.79MA0.16Pb0.75Sn0.25Br0.5I2.5,0.16,0.79,0.05,0.0,0.75,0.25,0.0,0.5,2.5,12.87,0.82,209.8,0.71,1.34,2
Cs0.05FA0.79MA0.16Pb0.832Sn0.168Br0.52I2.48,0.16,0.79,0.05,0.0,0.832,0.168,0.0,0.52,2.48,12.65,0.71,247.9,0.72,1.38,1
Cs0.05FA0.79MA0.16Pb0.916Sn0.084Br0.52I2.48,0.16,0.79,0.05,0.0,0.916,0.084,0.0,0.52,2.48,10.4,0.67,221.0,0.7,1.38,1
Cs0.05FA0.79MA0.16PbBr0.39I2.61,0.16,0.79,0.05,0.0,1.0,0.0,0.0,0.39,2.61,11.05,1.02,171.5,0.64,1.59,6
Cs0.05FA0.79MA0.16PbBr0.3I2.7,0.16,0.79,0.05,0.0,1.0,0.0,0.0,0.3,2.7,20.005000000000003,1.0950000000000002,242.8,0.755,1.57,2
Cs0.05FA0.79MA0.16PbBr0.45I2.55,0.16,0.79,0.05,0.0,1.0,0.0,0.0,0.45,2.55,18.5,1.12,224.7,0.75,1.6,25
Cs0.05FA0.79MA0.16PbBr0.47I2.53,0.16,0.79,0.05,0.0,1.0,0.0,0.0,0.47,2.53,12.7,1.0350000000000001,198.0,0.6174999999999999,1.59,6
Cs0.05FA0.79MA0.16PbBr0.48I2.52,0.16,0.79,0.05,0.0,1.0,0.0,0.0,0.48,2.52,15.23,1.03,215.1,0.73,1.58,36
Cs0.05FA0.79MA0.16PbBr0.50I2.5,0.16,0.79,0.05,0.0,1.0,0.0,0.0,0.5,2.5,15.8,1.02,212.0,0.73,1.63,4
Cs0.05FA0.79MA0.16PbBr0.51I2.49,0.16,0.79,0.05,0.0,1.0,0.0,0.0,0.51,2.49,17.064999999999998,1.09,219.0,0.73,1.61,234
Cs0.05FA0.79MA0.16PbBr0.52I2.48,0.16,0.79,0.05,0.0,1.0,0.0,0.0,0.52,2.48,9.7,0.7,198.2,0.69,1.38,1
Cs0.05FA0.79MA0.16PbBr0.5I2.5,0.16,0.79,0.05,0.0,1.0,0.0,0.0,0.5,2.5,16.185000000000002,1.038,236.0,0.7140000000000001,1.57,18
Cs0.05FA0.79MA0.16PbBr0.99I2.01,0.16,0.79,0.05,0.0,1.0,0.0,0.0,0.99,2.01,19.16,1.3,196.0,0.77,1.72,5
