entry_id,compound,efficiency (%),Open circuit voltage (V),Short circuit current density (A/m²),Fill factor,Band gap (eV)
--7QgUnINWBA_TA8jw3CCbRCRrcH,MAPbI3,9.8,1.0,133.0,0.74,1.6
--8F7Y4s3uKDX5NP3bucanTkQo8Q,MAPbI3,14.1,0.96,185.9,0.78,
--9aa7m8b7HiItY8dhvSOhYziIQL,MAPbI3,5.5,0.632,161.0,0.57,1.5
--MlWiNv1SKTzJtpJWHqwwxmmsDW,MAPbI3,11.82,0.912,187.60000000000002,0.691,1.6
--MwIi0wc7g_1YhFm95OcLR-Gp1p,MAPbI3,9.46,0.885,181.9,0.588,1.6
--Phx81KXd8q_-bTnwpZPUIWWiVa,MAPbI3,9.9,0.98,207.0,0.49,1.6
--RgE_khB0mtMTpdsdxLae7XuLI0,MAPbI3,18.67,1.04,235.0,0.762,1.6
--UW73hdZx_mJPNrfT2VzqLe_AvE,MAPbI3,6.17,0.7759999999999999,154.3,0.51,1.6
-09A82oyQC9E8fppw2ks3Ys6HfkE,MAPbI3,12.7,,,,1.6
-0IO-XG1_fgMXn1MzZpEZymrVenV,MAPbI3,7.09,0.8440000000000001,124.7,0.6729999999999999,1.5
-0KDqwHqhhDfvD754VHcBJTx47Ls,FAPbI3,13.3,0.95,236.0,0.59,1.48
-0Q6xbgwCbN2vzwpL8ioH4bLWZBw,MAPbI3,15.89,1.0,200.0,0.84,1.6
-0ScmVBFRNWEUx0xmFGJW3b2C6IS,MAPbI3,3.5,1.0,125.0,0.27,1.6
-0YoZGTSuTBeholJDom0fBZwvbcT,MAPbI3,16.13,1.019,211.4,0.75,1.6
-0bINTwBolYR1uWWD_uSXZf_VTno,MAPbI3,4.43,0.82,110.0,0.489,1.6
-0e669DDaRfjtiXOsvq3lwr6V7te,MAPbI3,8.11,0.85,141.1,0.68,1.6
-0jUiKrbQTqLOBTHfUxe_KcfOHrE,MAPbI3,1.7,0.63,74.3,0.36,1.6
-0qukldnioTRu2enzkiKsOg791Y7,MAPbI3,14.8,0.98,233.0,0.65,1.6
-0tQia6n0YoXq_YmCOAaMmPLJu5x,MAPbI3,8.07,0.74,177.2,0.69,1.5499999999999998
-0uSQAIflzMrFQpxVkZ-3hRuS7K6,MAPbI3,15.2,1.02,214.1,0.7,1.6
-0uV65nvDsjyiK9JNzwbnYtZ5U_N,MAPbI3,3.5,0.85,135.0,0.3,1.6
-1NTsx5Cpuqo-uo4Km9hmgf6Dx_D,FA0.85MA0.15PbBr0.45I2.55,19.2,1.03,237.0,0.79,1.5499999999999998
-1QN9t4q0tQqW6gh7DLctV6y2crY,Cs0.05FA0.76MA0.16PbBr0.48I2.52,8.52,1.04,190.0,0.43,
-1rCXXydffwp7K0rCTZ-c5WXvZfT,MAPbI3,11.01,0.933,204.20000000000002,0.578,1.6
-1rrUzzQ_OglpamnXZJO9cHmeniz,MAPbI3,13.9,0.95,216.0,0.672,1.6
-1uxHuGKv0vQW3RD6J9WTfu4WLR1,MAPbI3,9.6,0.93,174.0,0.59,1.6
-2FFGlcl7feqBbbOUzn7DVR9qssg,FA0.83MA0.17PbBr0.51I2.49,15.7,1.08,199.0,0.74,
-2JQhK2Mr1PXNWV50MqAHYkXDUWd,Cs0.05FA0.81MA0.14PbBr0.43I2.57,15.38,1.111,198.6,0.6970000000000001,
-2MiDsCVhb6Tgefb-PA8ljd2RN5B,MAPbI3,12.8,1.0,200.0,0.64,1.5
-2SnHBkqHaj5mAgg-lpGRXkCkn3M,MAPbI3,10.7,0.93,159.4,0.72,1.58
-2anzhUTjTWy1BKW82C9I7eU3tVM,MAPbI3,11.5,0.8,208.0,0.7,1.6
-2ftPOPxzDTdyqgk_ZZ7DwgcWh9G,MAPbI3,18.42,1.11,224.4,0.782,1.6
-2khfF1ZpadycdfA_1kFr6tLYDVC,MAPbI3,14.89,1.085,197.77999999999997,0.718,1.58
-2sDwefm6e_RtsbGXsAi2ruwB2hr,Cs0.05FA0.7885MA0.1615PbBr0.34I2.66,3.5,,,0.26,
-31pPlyLgDI6jps4eLOb09vvwHYK,MAPbI3,11.7,0.98,183.0,0.631,1.6
-399oNlZHB5GQyMoXrfyWd8e_1rQ,MAPbI3,11.6,1.01,173.0,0.664,1.6
-3QEUHaf-qG4ZBNliGOImiX_rSzW,Cs0.08FA0.77MA0.15PbBr0.51I2.49,11.36,0.915,173.73000000000002,0.715,1.6
-3XC68jebr4VwQQLHP1Uai89RhTw,MAPb0.75Sn0.25Br1.8I1.2,11.11,0.99,151.6,0.74,1.73
-3Yiof1nBYp2p7wEKKcyqCw1oM4Z,MAPbI3,12.21,0.83,217.0,0.68,1.6
-3_TKBIqU31x67M0xYnSX-TyifrA,MAPbI3,7.7,0.8,164.0,0.45,1.6
-3_vhlPHDIHbt8wwopiIEUY7uo12,MAPbI3,13.28,1.05,193.0,0.66,1.6
-3gSpkn8nyAHHEDfGtmGBI0NfMAT,MAPbI3,7.2,0.8540000000000001,192.0,0.436,1.6
-3jEr11Mqu3sbb-n9-Bt2ycV3S1U,FASnI3,8.62,0.632,203.70000000000002,0.693,
-3n0FUBOUS8tY54ZFdl5osAvP70Z,Cs0.05FA0.79MA0.16PbBr0.51I2.49,19.25,1.14,225.6,0.75,
-3sEJVgc_uDlPbw8iViXCLy7kARP,MAPbI3,9.11,0.885,151.1,0.6809999999999999,1.6
-3yvLC22SfF26QvSW6AoUOiZvIl2,MAPbI3,14.57,1.04,203.2,0.7140000000000001,1.6
-495RhfW4sybP1vt5X4LqdcHLXTB,Cs0.05FA0.79MA0.16PbBr0.51I2.49,19.5,0.023,11.129999999999999,0.764,
-4ETdWoopgtP-gC7Glvv7BgdPB-c,MAPbI3,19.19,1.04,225.6,0.8170000000000001,1.6
-4FXTC5S4AHNS_-3HU1VKkGxfLKF,Cs0.05FA0.8075MA0.1425PbBr0.45I2.55,18.87,1.1,232.8,0.74,1.6
-4kZs-XQfI9yZ_8Ic6xdaZs-zeaA,MAPbI3,14.07,0.92,196.0,0.78,1.61
-4v_qAoo51EQQUzGneMA6czdVed-,MAPbI3,12.73,0.85,228.70000000000002,0.65,1.6
-4z5hW3amTxfasM1muJtJRt7FwHi,KBABiTeO6,0.03,0.67,0.4,0.53,1.94
-51EqaQJIRFh2DwKz8GEzaRuQ3iH,MAPbI3,15.71,1.072,211.8,0.71,1.5
-52p6pQ-RIOW5d6zsIMjFCt0CWjE,MAPbI3,19.52,1.1,221.0,0.8,1.6
-5Y-cWrBimLvwD8LFCturjR2W_Kw,Cs0.2FA0.8PbI3,13.9,0.91,245.0,0.62,
-5fSNlNqSTpmJsbkEquH4Un76tol,Cs0.05FA0.79MA0.16PbBr0.5I2.5,16.17,1.037,214.60000000000002,0.726,1.558
-5riEtpGlvnQDXdtyMNYLbEydK5j,MAPbI3,16.06,1.065,218.29999999999998,0.691,1.6
-5sO2dbkbtuhyGagXl2hNaXvO753,MAPbI3,11.42,0.894,189.3,0.675,1.5
-61mMhFs6q8m_Sqkfc8JP0pD2yZX,MAPbI3,3.9,0.901,130.0,0.336,1.6
-62Tnuo-R5CXisLqbJz4Onxst3oS,Cs0.05FA0.79MA0.16PbBr0.51I2.49,25.26,0.804,273.09999999999997,0.748,
-6B7F7Xi7xaPzCjPHcsOn1T_SPN6,MAPbI3,12.33,0.952,205.33999999999997,0.631,1.6
