MA,FA,Cs,EA,Pb,Sn,Cl,Br,I,PCE,V_OC,J_SC,FF,Eg
0.6,0.39,0.01,0,1,0,0,0.025,2.975,18.7,1.07,227,0.77,1.6
0.99,0,0.01,0,1,0,0,0.03,2.97,19.4,1.1,223,0.788,1.6
0.5,0.475,0.025,0,0.5,0.5,0,0,3,19.285,0.78,321.7,0.745,1.27
0.15,0.825,0.025,0,1,0,0,0.45,2.55,19.21,1.055,225.5,0.808,1.651
0.6,0.38,0.02,0,1,0,0,0.025,2.975,19.2,1.09,227,0.78,1.6
0.98,0,0.02,0,1,0,0,0.06,2.94,20.46,1.13,228.1,0.79,1.6
0.6,0.37,0.03,0,1,0,0,0.025,2.975,18,1.1,225,0.73,1.6
0.2,0.77,0.03,0,1,0,0,0.46,2.54,11.645,1.07,214,0.585,1.5
0.16,0.81,0.03,0,1,0,0,0.5,2.5,10.8,1,160.5,0.67,1.63
0.025,0.945,0.03,0,1,0,0,0.075,2.925,16.74,1.03,234.2,0.696,1.56
0,0.97,0.03,0,1,0,0,0,3,13.4,0.94,212,0.669,1.553
0.97,0,0.03,0,1,0,0,0.09,2.91,14.58,0.984,205.2,0.722,1.6
0.16,0.8,0.04,0,1,0,0,0.5,2.5,12.2,1.01,165,0.74,1.6335
0.16,0.8,0.04,0,1,0,0,0.51,2.49,16.76,1.0465,213.05,0.737,1.61
0.14,0.82,0.04,0,1,0,0,0.42,2.58,17.82,1.1,215.9,0.75,1.58
0.16,0.8,0.04,0,1,0,0,0.49,2.51,16.8,1.078,219.8,0.7,1.62
0.57,0.38,0.05,0,1,0,0,0.2,2.8,17.02,0.101,234,0.72,1.57
0.5,0.45,0.05,0,0.5,0.5,0,0,3,17.29,0.71,320.9,0.76,1.26
0.4,0.55,0.05,0,1,0,0,2.88,0.12,15.2,1.08,31.6,0.74,1.56
0.38,0.57,0.05,0,1,0,0,0,3,19.9,1.08,232,0.79,1.54
0.45,0.5,0.05,0,0.5,0.5,0,0,3,19.4,0.83,297,0.78,1.22
0.3,0.65,0.05,0,1,0,0,0.15,2.85,18.2,1.153,235.3,0.807,1.55
0.25,0.7,0.05,0,1,0,0,0,3,19.25,1.11,234,0.739,1.51
0.2,0.75,0.05,0,1,0,0,0,3,15.61,1.06,219.35,0.67,1.52
0.19,0.76,0.05,0,1,0,0,0.3,2.7,17.3,1.08,208,0.767,1.6
0.19,0.76,0.05,0,1,0,0,0.51,2.49,14.6,1.07,195,0.704,1.65
0.19,0.76,0.05,0,1,0,0,0.6,2.4,18.25,1.13,222,0.779,1.59
0.19,0.76,0.05,0,1,0,0,0.72,2.28,14.3,1.11,175,0.733,1.68
0.19,0.76,0.05,0,1,0,0,0.9,2.1,11.2,1.13,150,0.66,1.73
0.1615,0.7885,0.05,0,1,0,0,0.3,2.7,13.15,0.955,202.5,0.725,1.565
0.1615,0.7885,0.05,0,1,0,0,0.51,2.49,15.81,1.1005,212.8,0.72,1.57
0.162,0.788,0.05,0,1,0,0,0.51,2.49,18.45,1.08,224,0.763,1.59
0.16,0.79,0.05,0,1,0,0,0.3,2.7,16.9,1.025,217,0.79,1.55
0.16,0.79,0.05,0,0.25,0.75,0,0.5,2.5,10.93,0.71,214.6,0.71,1.3
0.16,0.79,0.05,0,0.58,0.42,0,0.52,2.48,13.25,0.74,259,0.69,1.38
0.16,0.79,0.05,0,0.5,0.5,0,0.5,2.5,11.685,0.73,216,0.67,1.31
0.16,0.79,0.05,0,0.664,0.336,0,0.52,2.48,16.1,0.8,265.9,0.76,1.38
0.16,0.79,0.05,0,0.748,0.252,0,0.52,2.48,14.1,0.76,252,0.74,1.38
0.16,0.79,0.05,0,0.75,0.25,0,0.5,2.5,12.87,0.82,209.8,0.71,1.34
0.16,0.79,0.05,0,0.832,0.168,0,0.52,2.48,12.65,0.71,247.9,0.72,1.38
0.16,0.79,0.05,0,0.916,0.084,0,0.52,2.48,10.4,0.67,221,0.7,1.38
0.16,0.79,0.05,0,1,0,0,0.39,2.61,11.05,1.02,171.5,0.64,1.59
0.16,0.79,0.05,0,1,0,0,0.3,2.7,20.005,1.095,242.8,0.755,1.57
0.16,0.79,0.05,0,1,0,0,0.45,2.55,18.5,1.12,224.7,0.75,1.6
0.16,0.79,0.05,0,1,0,0,0.47,2.53,12.7,1.035,198,0.6175,1.59
0.16,0.79,0.05,0,1,0,0,0.48,2.52,15.23,1.03,215.1,0.73,1.58
0.16,0.79,0.05,0,1,0,0,0.5,2.5,15.8,1.02,212,0.73,1.63
0.16,0.79,0.05,0,1,0,0,0.51,2.49,17.065,1.09,219,0.73,1.61
0.16,0.79,0.05,0,1,0,0,0.52,2.48,9.7,0.7,198.2,0.69,1.38
0.16,0.79,0.05,0,1,0,0,0.5,2.5,16.185,1.038,236,0.714,1.57
0.16,0.79,0.05,0,1,0,0,0.99,2.01,19.16,1.3,196,0.77,1.72
0.16,0.79,0.05,0,1,0,0,1.2,1.8,14.17,1.14,171.9,0.723,1.79
0.16,0.79,0.05,0,1,0,0,1.5,1.5,11.2,1.02,163,0.68,1.85
0.16,0.79,0.05,0,1,0,0,1,2,14.93,0.98,205.5,0.734,1.61
0.16,0.79,0.05,0,1,0,0,0,3,17.8,0.99,247.95,0.725,1.55
0.16,0.79,0.05,0,0,1,0,0.5,2.5,1.585,0.43,56.7,0.52,1.45
0.1425,0.8075,0.05,0,1,0,0,0.45,2.55,18.47,1.06,228.9,0.7385,1.6185
0.15,0.8,0.05,0,1,0,0,0.45,2.55,19.14,1.149,222.05,0.745,1.6
0.14,0.81,0.05,0,1,0,0,0.39,2.61,19.93,1.16,235.7,0.72,1.59
0.14,0.81,0.05,0,1,0,0,0.42,2.58,14.03,0.99,223.1,0.64,1.61
0.14,0.81,0.05,0,1,0,0,0.45,2.55,18.66,1.09,225.8,0.755,1.6
0.14,0.81,0.05,0,1,0,0,0.4,2.6,20.35,1.142,225.3,0.793,1.61
0.12,0.83,0.05,0,1,0,0,0.36,2.64,14.775,0.9845,215.55,0.6765,1.61
0.12,0.83,0.05,0,1,0,0,0.39,2.61,16.55,1.007,224.3,0.7,1.6
0.12,0.83,0.05,0,1,0,0,0.49,2.51,14.9,1.155,210.25,0.57,1.6
0.12,0.83,0.05,0,1,0,0,0.51,2.49,15.5,1.092,203,0.7,1.63
0.1,0.85,0.05,0,1,0,0,0.03,2.97,19.13,1.08,239.9,0.738,1.598
0.1,0.85,0.05,0,1,0,0,3,0,5.67,1.4,62.4,0.65,2.28
0.15,0.8,0.05,0,1,0,0,0.15,2.85,19.53,1.165,218.9,0.765,1.622
0.15,0.8,0.05,0,1,0,0,0.45,2.55,19,1.14,216.5,0.77,1.6
0.01,0.94,0.05,0,1,0,0,0.03,2.97,18.7,1.052,249.4,0.771,1.55
0,0.95,0.05,0,1,0,0,0.15,2.85,17.42,0.922,190.2,0.612,1.48
0,0.95,0.05,0,1,0,0,0,3,18.04,1.06,233.5,0.726,1.54
0.95,0,0.05,0,1,0,0,1.2,1.8,12.1,1.18,149,0.69,1.82
0.95,0,0.05,0,1,0,0,0,3,6.29,1.01,86.9,0.72,1.51
0.16,0.78,0.06,0,1,0,0,0.51,2.49,16.7,1.11,221,0.76,1.63
0.15,0.79,0.06,0,1,0,0,0.45,2.55,17.9,1.11,231,0.716,1.6
0.15,0.79,0.06,0,1,0,0,1.8,1.2,14.4,1.175,166,0.755,1.805
0.2,0.73,0.07,0,1,0,0,0.47,2.53,18.45,1.264,228.1,0.7335,1.6
0.16,0.77,0.07,0,1,0,0,0.5,2.5,14.35,1.065,179,0.75,1.639
0.15,0.78,0.07,0,1,0,0,0.45,2.55,20.1,1.17,227.5,0.764,1.61
0.14,0.79,0.07,0,1,0,0,0.45,2.55,19.48,1.16,230.4,0.724,1.55
0,0.93,0.07,0,1,0,0,0.15,2.85,14.01,1.03,207.5,0.66,1.62
0,0.93,0.07,0,1,0,0,0,3,15.4,0.99,220,0.751,1.54
0,0.915,0.085,0,1,0,0,0.45,2.55,16.31,1.09,214.9,0.726,1.625
0.37,0.55,0.08,0,1,0,0,0,3,5,0.845,135.7,0.44,1.53
0.15,0.77,0.08,0,1,0,0,0.51,2.49,14.69,1.047,190.12,0.7355,1.6
0.14,0.78,0.08,0,1,0,0,0.42,2.58,10.35,0.73,209.1,0.71,1.61
0,0.92,0.08,0,1,0,0,0,3,22,,,,1.51
0.33,0.58,0.09,0,1,0,0,0.65,2.35,18.3,1.1,230,0.76,1.59
0.91,0,0.09,0,1,0,0,0,3,17.8,1.055,224.95,0.75,1.59
0.15,0.75,0.1,0,1,0,0,0.51,2.49,19.4,1.1445,224.5,0.755,1.63
0.09,0.81,0.1,0,1,0,0,0.03,2.97,20.45,1.1,244.7,0.758,1.6
0.07,0.83,0.1,0,1,0,0,0.51,2.49,16.2,1.071,210,0.72,1.63
0.9,0,0.1,0,1,0,0,0,3,7.68,1.05,101,0.73,1.54
0.89,0,0.11,0,1,0,0,0,3,17.76,1.03,226.9,0.76,1.62
0,0.875,0.125,0,1,0,0,0.375,2.625,17.71,1.0945,216.015,0.7335,1.57
0.38,0.5,0.12,0,1,0,0,0.96,2.04,12.445,1.145,169.65,0.641,1.72
0.05,0.83,0.12,0,1,0,0,1.2,1.8,19.1,1.25,190,0.815,1.74
0,0.87,0.13,0,1,0,0,1,2,14.4,1.08,179.8,0.741,1.72
0.03,0.83,0.14,0,1,0,0,0.51,2.49,16.3,1.083,209,0.72,1.63
0.3,0.55,0.15,0,1,0,0,0.6,2.4,14.4,1.12,185,0.691,1.68
0.2,0.65,0.15,0,1,0,0,0.6,2.4,18.3,1.1535,204,0.783,1.68
0.2,0.65,0.15,0,1,0,0,0.6,2.4,16,1.14,199,0.718,1.67
0.17,0.68,0.15,0,1,0,0,0.3,2.7,16.2,1.06,212,0.722,1.63
0.17,0.68,0.15,0,1,0,0,0.51,2.49,16.8,1.09,203,0.757,1.65
0.17,0.68,0.15,0,1,0,0,0.6,2.4,16.1,1.1,199,0.737,1.68
0.17,0.68,0.15,0,1,0,0,0.72,2.28,14.9,1.09,187,0.724,1.71
0.17,0.68,0.15,0,1,0,0,0.9,2.1,14.4,1.11,180,0.719,1.74
0.14,0.71,0.15,0,1,0,0,0.9,2.1,17.8,1.185,189.5,0.795,1.7
0.1,0.75,0.15,0,1,0,0,0.6,2.4,16,1.11,189,0.765,1.66
0.1,0.75,0.15,0,1,0,0,0.1,2.9,20.2,1.13,234.9,0.77,1.57
0.1,0.75,0.15,0,1,0,0,0,3,19.725,1.13,230.4,0.7605,1.554
0.09,0.76,0.15,0,1,0,0,0.03,2.97,16.46,1.05,225.3,0.698,1.599
0,0.85,0.15,0,0.375,0.625,0,0,3,13.5,0.76,246,0.7,1.24
