compound,MA,FA,Cs,EA,Pb,Sn,Cl,Br,I
FASn0.7Pb0.3I3,0,1,0,0,0.3,0.7,0,0,3
FASn0.6Pb0.4I3,0,1,0,0,0.4,0.6,0,0,3
FASn0.5Pb0.5I3,0,1,0,0,0.5,0.5,0,0,3
FA0.925EA0.075Sn0.5Pb0.5I3,0,0.925,0,0.075,0.5,0.5,0,0,3
MA0.1FA0.9Sn0.9Pb0.1Cl0.3Br2.7,0.1,0.9,0,0,0.1,0.9,0.3,2.7,0
MA0.1FA0.9Sn0.9Pb0.1Cl0.6Br2.4,0.1,0.9,0,0,0.1,0.9,0.6,2.4,0
MA0.1FA0.9Sn0.9Pb0.1Cl0.9Br2.1,0.1,0.9,0,0,0.1,0.9,0.9,2.1,0
MA0.1FA0.9Sn0.9Pb0.1Cl1.2Br1.8,0.1,0.9,0,0,0.1,0.9,1.2,1.8,0
MA0.1FA0.9Sn0.9Pb0.1Cl1.5Br1.5,0.1,0.9,0,0,0.1,0.9,1.5,1.5,0
MA0.1FA0.9Sn0.9Pb0.1Cl1.8Br1.2,0.1,0.9,0,0,0.1,0.9,1.8,1.2,0
MA0.1FA0.9Sn0.9Pb0.1Cl2.1Br0.9,0.1,0.9,0,0,0.1,0.9,2.1,0.9,0
MA0.1FA0.9Sn0.9Pb0.1Cl2.4Br0.6,0.1,0.9,0,0,0.1,0.9,2.4,0.6,0
MA0.1FA0.9Sn0.9Pb0.1Cl2.7Br0.3,0.1,0.9,0,0,0.1,0.9,2.7,0.3,0
MA0.1FA0.9Sn0.9Pb0.1Cl0.3I2.7,0.1,0.9,0,0,0.1,0.9,0.3,0,2.7
MA0.1FA0.9Sn0.9Pb0.1Cl0.6I2.4,0.1,0.9,0,0,0.1,0.9,0.6,0,2.4
MA0.1FA0.9Sn0.9Pb0.1Cl0.9I2.1,0.1,0.9,0,0,0.1,0.9,0.9,0,2.1
MA0.1FA0.9Sn0.9Pb0.1Cl1.2I1.8,0.1,0.9,0,0,0.1,0.9,1.2,0,1.8
MA0.1FA0.9Sn0.9Pb0.1Cl1.5I1.5,0.1,0.9,0,0,0.1,0.9,1.5,0,1.5
MA0.1FA0.9Sn0.9Pb0.1Cl1.8I1.2,0.1,0.9,0,0,0.1,0.9,1.8,0,1.2
MA0.1FA0.9Sn0.9Pb0.1Cl2.1I0.9,0.1,0.9,0,0,0.1,0.9,2.1,0,0.9
MA0.1FA0.9Sn0.9Pb0.1Cl2.4I0.6,0.1,0.9,0,0,0.1,0.9,2.4,0,0.6
MA0.1FA0.9Sn0.9Pb0.1Cl2.7I0.3,0.1,0.9,0,0,0.1,0.9,2.7,0,0.3
MA0.1FA0.9Sn0.9Pb0.1Br0.3I2.7,0.1,0.9,0,0,0.1,0.9,0,0.3,2.7
MA0.1FA0.9Sn0.9Pb0.1Br0.6I2.4,0.1,0.9,0,0,0.1,0.9,0,0.6,2.4
MA0.1FA0.9Sn0.9Pb0.1Br0.9I2.1,0.1,0.9,0,0,0.1,0.9,0,0.9,2.1
MA0.1FA0.9Sn0.9Pb0.1Br1.2I1.8,0.1,0.9,0,0,0.1,0.9,0,1.2,1.8
MA0.1FA0.9Sn0.9Pb0.1Br1.5I1.5,0.1,0.9,0,0,0.1,0.9,0,1.5,1.5
MA0.1FA0.9Sn0.9Pb0.1Br1.8I1.2,0.1,0.9,0,0,0.1,0.9,0,1.8,1.2
